    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,198,Social Psychology,PSY302,SP,None ,None,None,Winter,Venkata Ratandeep Suri,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSIDWOrdb4C1VOP_oKr-0hZhmKoGDgXeUzaZhQ3sY2aDepSMnRZUEBvPd49p_9DTkKBJB6FvIOr5CSw/pubhtml?gid=1409904678&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,410,Attention and Perception,PSY305/PSY505,ATP,None,"Introduction to Programming, Introduction to Psychology ",None,Winter,Sonia Baloni Ray,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTOXAxhKips2Bsmb78mJ35zG6bKeq2rLezXJLuxkY3YGlfy70ViL-34zStK_amk1Q/pubhtml?widget=true&amp;headers=false""></iframe>"
,199,Learning and Memory,PSY306/506,LM,None,None,None,Winter,Mrinmoy Charabarty,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQxu7SXZaaXHEQVQBYfPK-x1MkMYQA08yEFrGLitwIEwrPFjAlSSklTu_shifd1QA/pubhtml?widget=true&amp;headers=false""></iframe>"
,412,Neuroscience of Decision Making,PSY307/507,NDM,None,PSY301,None,Monsoon,Mrinmoy Charabarty,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQE_Ehis0pCfYFHpoObztUcfZAIHR3hH-whdKdgJRJBgMPieUuVsUhhj_DsdrtRDA/pubhtml?widget=true&amp;headers=false""></iframe>"
,200,Cognition of Motor Movement,PSY308/PSY508,CMM,None, Introduction to programming,None,Monsoon,Sonia Baloni Ray,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS24VVUihhd2M2uhYFnmk_J45A6qBdoBs2cvuWZMB-CBBCg2W3Xhq6XiVtECiCk9Q/pubhtml?widget=true&amp;headers=false""></iframe>"
,414,Introduction to Sociology and Anthropology,SOC101,ISA,SSH101,None,"""HSS205, HSS215""",Winter,Amrit Srinivasan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR3hTXGjqUmKJA3P3XesxB0D_IN3lq_LQAbNs0kb_WzhiS5VGpPrTlzjhAqCD2_NEzWF4CYALz96pq4/pubhtml?widget=true&amp;headers=false""></iframe>"
,201,Contemporary India: Sociological Perspective,SOC202,CISP,None,None,None,Monsoon,Paro Mishra,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS0PvTPK8-0hqsXzn-IryZh3DR-AjSzgiMy6Bb6Ifcerq5ENS2hwqRW3FKBFIH2kZr0RGQceTZ6aBZ_/pubhtml?gid=97578766&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,416,Sociology of New Media,SOC204,SNM,None,None,None,Monsoon,Aasim Khan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS4ZPKhoazKIGTSRs1a0vvbhtgxyo8RXc3BoSwoyhQQ9-SNWS7ZrDESJ_VyqQsKnFjSB8IoYZkq-2Eg/pubhtml?gid=734522967&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,202,Anthropology and Social Media,SOC205,ASM,None,None,None ,Winter,Swati Mantri,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSPzKxHvptGN1WlwhAG3RPJCFEk0q0G_n62E1E44mzyVNsiQ_37RbAr80BY3SCK1mkT6RWXBkUX_HFp/pubhtml?gid=857213929&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,418,Business Anthropology,SOC206,BA,None,None,None,Monsoon,Shriram Venktraman,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR9sc8Ru1aP6yOhqjeyjVySUAkmp3sK1QxsC6WV-xw5bjKLJnF7oY1-Muohy5zrni0C4YHd6YthM7wA/pubhtml?gid=1107823224&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
