    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,68,Advanced Biometrics,CSE441/CSE541,BIOM,CSE343/CSE543/ECE563,Probability and Statistics,None,Winter,Mayank Vatsa,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTwO9JSCPuZRdr8b0H-6_-ZHJCh19Rx6PrUCFDUuHFfRFfFFBhFvfDNlJ8cmiyUwzOLrzMsssoRW_0K/pubhtml?gid=1540415147&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,32,Designing Human Centered Systems,CSE501,DHCS,None,None,DES204,Monsoon,Ponnurangam Kumaraguru,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSFxgYddHX54xly_Y9lwluh3M81Q08vt7Xi4GxaPZeOy-vwXM1pcrIzujm029aS5nvc1aSKN0rOYKP-/pubhtml?gid=1449212177&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,70,Foundations of Parallel Programming,CSE502,FPP,"""CSE101, CSE102, CSE201""",Experience with C/C++ programming,None,Winter,Vivek Kumar,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQdb5ODTpq4wv7C5iBIibXcVF_T3XturWMWbwvzc4nGIyoK4Y-QCiEe9iJ2snbDXA/pubhtml?widget=true&amp;headers=false""></iframe>"
,33,Program Analysis,CSE503,PA,"""CSE102, CSE201""",Theory of Computation,None,Monsoon,Rahul Purandare,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRZHblaJ8UxZaPj6RhovSeq8iU7St2wG8wjacVCXROvuiL-k5w0VVc8tRnbcTW9cLjHXwfojywhFuWj/pubhtml?gid=1536883694&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,72,Decision Procedures,CSE504,DP,"C/C++ or Java programming (equivalents of DSA and AP), A basic course in discrete mathematics and logic.",None,None,Monsoon,Piyus Kedia,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSLwrpqDmD23pBKCS81nEY0eFQKo3Ipz-p80u58pK5Cv-WnNPXIKTRLjiwEaKzhGA/pubhtml?widget=true&amp;headers=false""></iframe>"
,34,Data Mining,CSE506,DMG,"""CSE202, CSE101, MTH100, MTH201""",Programming in Java,None,Monsoon,Vikram Goyal,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS2U1p1FfDJSOdRBwGu08RgXgnSUNLNQYA5nLDLouVzTij39asVkA8CUr14E9hKf4GnKg4Uh-IxWaZe/pubhtml?gid=644524193&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,74,Database System Implementation,CSE507,DBSI,"""CSE202, CSE102""",None,None,Monsoon,Mukesh Mohania,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTsk1mks-v4qLPIegcxB34wqFrowY2Xvjkhi-XbnTqv-QcZDGiOjui8JnsBwOo7I3hVzq1Lc6dESh_C/pubhtml?gid=803465230&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,35,Information Retrieval,CSE508,IR,"""CSE102,CSE201,CSE202""",ECE5ML,None,Winter,Rajiv Ratan Shah,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTRNf-2cjSe3S74dtuVCXqBByv-q7LUKhybOj5xJt6CskSBkjCu3Z7ENPczO6luqX9byAKPo9WSnsXs/pubhtml?gid=108171157&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,76,Computer Architecture,CSE511/ECE511,CA,None,None,None,Monsoon,Sujay Deb,4,CSE,ECE,"<iframe src=""https://docs.google.com/spreadsheets/d/1Z80l9byJyLYce04Bexm0X14c-kl63WjQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,36,Parallel Runtimes for Modern Processors,CSE513,PRMP,"CSE231, CSE201",CSE112,None,Monsoon,Vivek Kumar,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQCl662gpg_T7Dr5C-u2kR5AzYkDHi2BMkOrYzlhpI7YBIIknsA5kcUI71ptmQxrw/pubhtml?widget=true&amp;headers=false""></iframe>"
,78,Bayesian Machine Learning,CSE515/ECE551,BML,MTH201,"Machine learning ,Convex Optimization , Probability and Random Processes(PRP), Statistical Signal Processing(SSP)/Statistical Machine Learning (SML)",None,Monsoon,Ranjitha P,4,CSE,ECE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQEfVJOMlDlUZMNs7OwEc29p0ljy2S3CxgNb1lbWidY48deLmKqCe8IEUOq7-Dqjw/pubhtml?widget=true&amp;headers=false""></iframe>"
,37,Theories of Deep Learning,CSE516/ECE559,TDL,"""MTH100, MTH203, CSE343/CSE543/ECE563 or CSE342/CSE542""","Signals and System, Python/Matlab programming",None,Winter,Vinayak Abrol,4,CSE,ECE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRSD14TL9prtZt6NGdf0SPjo41cJFwmuvBxMc1JvrGk77Gv0mQjv1UQC57YEhJO9qNSrZKzI82bijuF/pubhtml?gid=44395192&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,80,Concurrent and Learned Data Structures,CSE518,CLDS,"""CSE101, CSE102, CSE201, CSE231""",None,None,Winter,Bapi Chatterjee,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTeKmkybusB1RznBqvs4pd3X7ykwrlNosB3k29tbNXdroK8DiRa78doSKIWNKyZeA/pubhtml?widget=true&amp;headers=false""></iframe>"
,38,Randomized Algorithms,CSE523,RA,"""CSE222,CSE121,MTH201""",None,None,Monsoon,Rajiv Raman,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQRzLgQPxJ3sbPXhgRGn310vl0_UIoMAGbJmsNInOsZ-jm-T2On6hvvpAN_rIRQPiFzQuw12sEDkKIQ/pubhtml?gid=1939488330&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,82,Theory of Modern cryptography,CSE524,TMC,CSE121 or MTH210 ,"Discrete mathematics, Applied cryptography or Foundations of computer security",None,Monsoon,Information not available,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT25LtudEJbKgcOvZGAm8FWOI3tPqSPANqzro1yKeVj5gqFntuvmQPoa0DAv21Nug/pubhtml?widget=true&amp;headers=false""></iframe>"
,39,Introduction to Graduate Algorithms,CSE525,GA,"""CSE222""",None,None,Monsoon,Debajyoti Bera,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSwuXElb47NU_FIZFqkrDNJzRILr3HscT6PLQMqoay9CV_wUYwI1cypGWWgKRoX2bVY_YJ5pG0lcQ3S/pubhtml?gid=59592576&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,84,Lattices in Computer Science,CSE526,LCS,MTH100 / MTH201 / ECE501 / CSE222,CSE546 / CSE622,None,Winter,Subhabrata Samajder,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT6JeNK_72whV4Tdlg_pY53ccIF_kCnRjZSZeFSFW_8o5gclGGQm0YZfdirCYq2JA/pubhtml?widget=true&amp;headers=false""></iframe>"
,40,Introduction to Blockchain and Cryptocurrency,CSE528,IBC,CSE546,None,None,Winter,Donghoon Chang,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQWgKqJG2KFCXSJRxMoALG1J_et9YhYDnHgYaTtUWxMDXT-ldP-EMvghXLAGtU0ILngcOQfcued5lNp/pubhtml?gid=2033242478&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,86,Approximation Algorithms,CSE529,AAG,"""CSE222""",None,None,Winter,Syamantak Das,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT3W8vjMIIhV4b4jP8Le4r_W1iuWd73-CzjQJHrS39EuIW-_rVkZNKRjaIXXqjjqJlfZO8GX8P9fTLx/pubhtml?gid=1518379001&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,41,Distributed Systems: Concepts & Design,CSE530,DSCD,"CSE231; Students must have good programming skills with at least one of the following languages: Java, Scala, Go, Python.
",CSE232,None,Winter,Dhruv Kumar,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS4VoCtmYlhuPDZmlnWfZt-97ti6qdx8vJdlxX8jmDGArIit-fpCJL7E1-Nvt6G6A/pubhtml?widget=true&amp;headers=false""></iframe>"
,88,Multi-Agent Systems,CSE531,MAS,None,None,None,Monsoon/Winter,Information not available,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQghGa3ivnZ_lszg6yybVx6gNO0VuPlGjAWkTtei45MrfXRBqvh-jwI9ubur99Pd4bKhfHjgZd53k26/pubhtml?gid=1119838527&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,42,Mobile Computing,CSE535,MC,CSE101,"CSE231, CSE232, CSE201",None,Monsoon,Mukulika Maity,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRC8dXLYXkv6-s1EIJRrP2nQmvl9kweZWO3WirfDPu59rxPqfN-a_oPc0_sx_MgPqXXoJj604kzGHsp/pubhtml?widget=true&amp;headers=false""></iframe>"
,90,Wireless Networks,CSE538/ECE538,WN,CSE232,"Operating Systems, Advanced Programming",None,Winter,Arani Bhattacharya,4,CSE,ECE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT0oDDTBuRxnXMr--aPe3yD5-runUOMnG6CdTXx5KnCJNstVOWNe6W7z1qzNAYIFaFqhakkIeeNEEY5/pubhtml?gid=688842215&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,43,Applied Cryptography,CSE546,AC,"""CSE121""",None,None,Monsoon/Winter,Subhabrata Samajder,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSWJUCylzX29PTREpCcRVShfDWJ24rPpROKjv0uIzctrCjDm79AzInOX0PAQ--AhNZy5u2oiXiMxHE8/pubhtml?gid=1240036307&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,92,Security Engineering,CSE552,SE,CSE231,Foundations of Computer Security,None,Monsoon/Winter,Arun Balaji Buduru,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTyP0cv0N-DEvqKWG8FPeh012vzsvFfBs94Zam4iJSTGUEk3aEJIWzcB5I4mrlPQo5tCP2FzIa3LWTj/pubhtml?gid=51694062&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,44,Netwoks and Systems Security I,CSE553,NSS I,"""C/C++""","Foundations of Computer Security (FCS),  Operating Systems, Computer Networks",None,Monsoon,Sambuddho Chakravarty,4,ECE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTKletWr4RFMu4ZZBtkSxfVlTwoxcWBrd4hTJAvZFzAP7ZcoYONaEYecn5CtDR-FQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,94,Introduction to Spatial Computing,CSE555,ISC,"""CSE102, CSE202""",Basic understanding of mathematics and programming skills,None,Monsoon,Vikram Goel,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ9cG5YIZv4XiW11zYU-R4II2yNSORZEuliHmIywgFnBOb-5sLe4uEZU4IDM3_Y19z-2BHsXvscUUFE/pubhtml?gid=1834618791&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,45,Natural Language Processing,CSE556,NLP,"""CSE101, MTH201, CSE222""",Any Machine Learning course (ML/SML/AML/DL),None,Winter,Md. Shad Akhtar,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT2kz8cOdrsy1is_R078yn2bscvEErTzNZUp4CQtql4Qp-yygzIc_-ZN_had-ApmA/pubhtml?widget=true&amp;headers=false""></iframe>"
,96,Big Data Analytics,CSE557,BDA,"""CSE202""","Data Mining, Machine Learning, Working knowledge of Programming in C,C++ or Java and experience with Unix",None,Winter,Vikram Goyal,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRLF-C_kh1pEmLUVRp5bx8PNkq6vC08qmBuE11qON9PfjqR68czj4QyT8uKhSogM8eL2tAIPiG5xzPA/pubhtml?gid=1494145128&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,46,Data Science,CSE558,DSc,CSE101,"ML or SML, Linear Algebra",None,Monsoon,Supratim Shit,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/1DvO9BNW2nASomSAziI-uDAkXQ9WEhqlr/pubhtml?widget=true&amp;headers=false""></iframe>"
,98,Mining Large Networks,CSE559,MLN,"""CSE222, CSE101, MTH201"" ","Any Machine Learning course (ML/SML/AML/DL), Graph theory",None,Winter,Tanmoy Chakraborty,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQYSVZEL8oMRJNyEI4lZDG7zDwB4AvdFDhhSi_9sl4PciY5ODyJByaQlQ43J8t3URn1BxdYBz1qGFlv/pubhtml?gid=830139036&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,47,GPU Computing,CSE560,GPU,"""CSE101""",Data Structures and Algorithms,None,Winter,Ojaswa Sharma,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSeu95TuSYS2lbQpGNd9cK4PpFQn_Kzxo8GRpBOqpJgz6s6ba4LawQPDnIvZf6calQlqM1IjYqJKtP9/pubhtml?gid=1824612221&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,100,Probabilistic Graphical Models,CSE561,PGM,MTH201,None,None,Winter,Anubha Gupta,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRnpyA_MfTGSxbMBvrdOOTqxTpWUrlHN0C4KMQmTjSREGDbZfEGZiEOp2QqbrUXpAboMPBFQtpUpFa4/pubhtml?gid=1195725779&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,48,Advanced Computer Vision,CSE562,ACV,"""CSE344/CSE544/ECE344/ECE544""",None,None,Monsoon,Koteswar Rao Jerripothula,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRDiRxWKdlp8lH8Zb2Vc08DlqKfLLCyeaI0xVXmzK1q8ygANwr_BQMlaLsOwXsc3Q5lxweGQXgQ2Ick/pubhtml?gid=320273160&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,102,Multimedia Computing and Applications,CSE563,MCA,None,Computer Vision,None,Winter,Rajiv Ratn Shah,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRPk77grz5sfi_xCxUnDUZ_EhgaPqtWHxi7pytJNp8t-aRmY3KKBwuvSQnTdVqdO302DfG0pDnCdKog/pubhtml?gid=795052900&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,49,Software Defined Networking,CSE565,SDN,CSE232,None,None,Monsoon,Information not available,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRqSbd-HGRetQzY3NL4DoVh9IjQllH0uvLP5X9g6W1pnuu390IoOc3dUZtB_3iNET-hR4BA7ncJM7mc/pubhtml?gid=1361575125&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,104,Mobile and Middleware Systems,CSE566/DES5MMS,MMS,CSE535,"Students must have excellent programming skills with Kotlin/Java, and GoLang/C#/Node/Rust. Student should be well-versed with GitHub and other good coding practices, including but not limited to unit testing, instrumented unit testing, code documentation, following coding conventions.",None,Monsoon,Pushpendra Singh,4,CSE,DES,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQssNfFjBtnbwrcJ4mlu-tHBY9PEYzqrwbriHAuxO4mnJ8IAUiRy0v-owZvJTPWN4_VdsKhEnjgrQTd/pubhtml?gid=1203117463&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,50,Programmable Networking,CSE567,PN,"""CSE102, CSE231, CSE232""","CSE222, CSE319/CSE519",None,Winter,Rinku Shah,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ99-fwPhCWKwTTgJ-g4Bph_2iDyjgSGCDgvQ0zo5VIiekLJNBQAZS09dREssum0A/pubhtml?widget=true&amp;headers=false""></iframe>"
,106,Social Network Analysis,CSE568,SNA,"""CSE222, CSE101, MTH201"" ","Any Machine Learning course (ML/SML/AML/DL), Graph theory",CSE559,Winter,Tanmoy Chakraborty,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTL2f6j8XFXYH7cu4dzpE7zumc2JBtvHQEF_XLYuFyacxNJwvDyWAEvWIGB4Ys9Gln-rsBgoUiSNqhO/pubhtml?widget=true&amp;headers=false""></iframe>"
,51,Cloud Computing,CSE569,CldC,CSE232,None,None,Monsoon,Prabhat Munshi,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSnp5w3UXSV5VpbjcPvZoqALxjWPKA2TdlniXzL3aNGc9yqYR5HDdqmGAC1yr8kMPJXW9zc2yyIMhS8/pubhtml?widget=true&amp;headers=false""></iframe>"
,108,Virtual Reality,CSE570,VR,None,Computer Graphics,None,Winter,Ojaswa Sharma,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSexFyF8vEc5w_ijne0zUJtKhps-J8cnFeHSEgls4JsKHeh4FX2oMFwNy-ef8ZtIeIhSgOTNO0Jkezs/pubhtml?gid=1334876160&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,52,Introduction to Media Computing,CSE571,IMC,None ,None,None,Monsoon/Winter,Information not available,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vThIPehWzKcu5B9mY1HTudCt6ZHqJzTXrawjmeeNcypG_v4C8LgnLjED9zingKCoL9WcShTUyqjqZ2j/pubhtml?gid=2138586563&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,110,Speech and Audio Processing,CSE572/ECE561,SAP,"""MTH100, ECE250""","MTH201, ECE351",None,Monsoon,Vinayak Abrol,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4UuQ4NQeYSGQiH_bs5stmgUddQ-_yiJThh4NSpJIEVOFLWgWpWPofsCYmc2eFBw/pubhtml?widget=true&amp;headers=false""></iframe>"
,53,Interactive Systems,CSE573,ISy,None,"Mobile Computing (CSE535), Machine Learning, Artificial Intelligence, Strong Programming Skills esp. mobile, VR, wearables. Experience with developing web+mobile, VR, Wearable based systems",DES201 (Design Processes & Perspetive)  & Prototyping Interactive Systems,Winter,Pushpendra Singh,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQVZh0193vmZooOgh78kNAlqv7qvCpkUe47S8w-ND2EYO-BQhdXB4Sx3RKmR3fkgQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,112,Smart Sensing for Internet of Things (IoT),CSE576,SSIoT,None,"Operating Systems, Embedded Systems, Algorithms",None,Monsoon,Information not available,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTbniS1A7aYPFroWNoP9iod9nbGgONnYzp4beCLc6WOHa3lGQ0AO-kYdzokiuVHYS1bDP4BSIXVS7In/pubhtml?gid=635991787&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,54,Advanced Internet of Things,CSE577,AIOT,None,"Android Programming, Internet of Things",None,Winter,Juhi Ranjan,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSvMSQfRn63Y3te_sH8Cq-ieEoBVU4kucPpHjd93-hP7LwhzycznL-nY5ZHQCwCud_x4rBVSKBBzfcT/pubhtml?gid=683955526&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,114,Ontology Modeling,CSE580A,OM,CSE102,Advanced Programming,None,Monsoon/Winter,Information not available,2,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSYyM0naq9HUesUJR7nF7fafdmM_WOxrhdbuRscZPGU2HqSuggi3qfjv8BvGugkSWE1489GbRXFbdsj/pubhtml?gid=970179527&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,55,"Systems Analysis, Design and Requirements Engineering",CSE581 ,SADRE,None,Basic understanding of software engineering and management,None,Winter,Rahul Mohananai,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQa2MODMaGAtu-cY1mVgAt3_7NiolRiEJN0GFgpIRUulnVqA5eVc-UgzCyy2pvZ_6p-0vmLv_5gIEFb/pubhtml?gid=1068694149&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,116,Software Production Evolution and Maintenance,CSE582,SPEM,None,Basic understanding of software engineering concepts and techniques,None,Monsoon,Rahul Mohananai,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTGb1MbieihybwE32NicZAHbRMxGtfWRtRoG0t4pi9syGqt2wRlO3v9304zAc2cSEsXzp3du3Mkp0mf/pubhtml?gid=1836884130&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,56,Software Development using Open Source,CSE583,SDOS,None,Good proficiency in programming,None,Monsoon,Pankaj Jalote,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSCbHeqArIirpUzCxjcI2sOoDg_hwsQlhzUZhJ8mQa9ZTGyFnGvtrznnaaqd2MYUXEPeb9vn4jwfrML/pubhtml?gid=689684211&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,118,Program Verification,CSE584,PV,"""CSE121 or MTH210""","Knowledge of DSA and some general-purpose programming language such as Python, C, C++, or Java.",None,Monsoon,Rahul Purandare,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ3dnMt2cWsc0NVT7XfbTR4g9XvEY3fiRDm_DQVlsvvgUEsWimP1cqBQ9_DOBV1aZdc6PHEHGW8W_Eq/pubhtml?gid=1873881049&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,57,Algorithms under Uncertainty,CSE586,AUU,CSE 222 or equivalent,None,None,Monsoon,Syamantak Das,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTx2lzL9knglkPl_IRxxzgU0e5k808NgfFgMwZ8Y-H3If5kgEzOZUXEFFemzn0RNQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,120,Networks for AI/ML Systems ,CSE587,NAI,CSE232,"CSE112/ECE111, CSE231",None,Monsoon,Rinku Shah,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSNP8sIwDCVn84ycOK26WiUtIF4kFHGoSP2hC_tRUvI0CH_GcxVXTKPavNZoluRQw/pubhtml?widget=true&amp;headers=false""></iframe>"
,233,Networks for AI/ML Systems ,CSE587A,NAI,CSE232,"CSE112/ECE111, CSE231",CSE587,Winter,Rinku Shah,2,CSE ,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSZxIq9TF14bnh6-tfMXP-anw9CLfNKpVNnO2M2gUIqv-BEtZoF0oevitHaUd86DQ/pubhtml?gid=291587857&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,58,Robot Intelligence ,CSE588,RI,CSE643/CSE101,"ECE363/ECE563/CSE343/543, CSE633/ECE670",None,Monsoon,Jainendra Shukla,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTRObZwDsMCTzN3inwnZpymsM-NyDpmDEXtwCfJbabptyHKeYw__bV3tDRzgVscCw/pubhtml?widget=true&amp;headers=false""></iframe>"
,123,Large Deep Learning Systems,CSE589,,"Machine Learning and
Deep Learning or NLP",,None,Monsoon,Bapi Chatterjee,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSK4fopxLTnKOpQLJzi8jvvo52xNVW4pVOCpfTUmBOj4W5JjidKrK5Dosi7h_WQ1A/pubhtml?widget=true&amp;headers=false""></iframe>"
,59,Human AI Interaction ,CSE592/DES540,HAI,Machine Learning (ECE363/ECE563/CSE343/543) or Deep Learning (CSE641) or Artificial Intelligence (CSE 643), DES519,None,Winter,Pushpendra Singh,4,CSE,HCD,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRY00SHIrK494xmHRTJ3Qq4zDy6Ieu2Adg23Xhv1LT-vTQoqhrPa3TUukUDnXZu9Q/pubhtml?widget=true&amp;headers=false""></iframe>"
,125,Quantum Cryptography,CSE593,,Introduction to Quantum Computing (CSE622),An Introduction to Quantum Information Theory (MTH551),None,Winter,Ravi Anand,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSTiTMcqzNrpqIjiSsQ5s3fHb2gQrrepFjg8QqMC0ms4PWUVlPEzxo69YyqBmIHiQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,60,Agentic Reasoning,CSE594A,ARE,Machine Learning,Large Language Models or Large Deep Learning Systems,None,Winter,Bapi Chatterjee,2,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQattP43UNlATT4pgSDjlS3qdt1s2d9cKlEJa_vHHs7cRq6x_JCGH47NHqsu92y0Q/pubhtml?widget=true&amp;headers=false""></iframe>"
,127,Multicore Parallel Programming and Runtime Systems   ,CSE595,MPPRS,"Operating System, Experience with C/C++ programming","Computer Foundations of Parallel Programming (CSE502), Parallel Runtimes for Modern Processors (CSE513)",None,Winter,Vivek Kumar,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTZKiW-8HgCXYvfh3s5tdn3zc-4ws4ZquMbOmjsesv9ZI952pbwYuvkSxbOfWWC4Q/pubhtml?widget=true&amp;headers=false""></iframe>"
,61,Robot Perception and Manipulation,CSE596/DES538,,CSE633/ECE670,CSE344/CSE544/ECE344/ECE544,None,Winter,Jainendra Shukla,4,Maths,HCA,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSqpboPPb-Gw7d4XJdFbkPIGOErjIz6fqDSpzLkHvLVT4dMqZFAZIAlmVK-d_q-TA/pubhtml?widget=true&amp;headers=false""></iframe>"
,129,Linear Optimization,CSE597/MTH374/MTH574,LO,Linear Algebra,Analysis and Design of Algorithms,NA,Winter,Subhashree Mohapatra,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSmaJVt2-JNdQcqSkQQ2i0RzrCHOhZDKRcfuHUa4dgiZ0NvQju46lAlx0f9M6bQfg/pubhtml?gid=162201598&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,130,Geometry Processing,CSE5GP,GP,"""CSE101""","Data Structures and Algorithms, C/C++ Programming",None,Monsoon/Winter,Information not available,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTunrS-RnebTngvUWgEHfTYDvDRHRz5OgeNdN8IATfPA57i3v6sAuSrFRvIp63O7XPuYNbCAPFH5XtL/pubhtml?gid=1448255566&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,62,Object Oriented Programming and Design,CSE600/ECE600/ECE600A,OOPD,None,None,CSE101 / CSE201,Monsoon,Arani Bhattacharya,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRT0p1GVIjYHLfNA4jI-At-Kdh5LAvNA0QYnmecO_A_SGeAUZxlQHPgn4BrZHNE_A/pubhtml?widget=true&amp;headers=false""></iframe>"
